,Course Name,Course Description,Course Subject,Course Number,Link
634,Greek Literature,"An introduction to the literature of ancient Greece, this course focuses on Homer and the epic cycle, the Homeric hymns, Hesiod and lyric poetry, tragedy and comedy. The texts are read in English translation.",CLAS,211,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
635,Honours Thesis,"The student works with an individual faculty member in a particular area of archaeology, history or philology to produce an extensive research paper.",CLAS,490,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
636,Intermediate Ancient Greek I: Prose,"In this course, students read prose works of authors such as Herodotus, Xenophon and Plato in the original Greek texts. Special attention is given to grammatical and syntactical structures of the language.",CLAS,383,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
637,Intermediate Ancient Greek II: Poetry,"In this course, students read selected works of the ancient poets in the original Greek texts, with an emphasis on Homer and Euripides. Special attention is given to grammatical and syntactical structures of the language.",CLAS,384,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
638,Intermediate Latin I: Prose,"Prose works of authors such as Caesar, Cornelius Nepos, Cicero and Pliny are read in the original Latin texts. Attention is given to further study of grammatical and syntactical structures of the language.",CLAS,391,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
639,Intermediate Latin II: Poetry,"Selected works of the Roman poets are read in the original Latin texts, with emphasis on Catullus, Ovid, Martial and Petronius. Attention is given to further study of grammatical and syntactical structures of the language.",CLAS,392,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
640,Introductory Ancient Greek I,"This course presents students with the introductory elements of ancient Greek grammar, syntax, and vocabulary",CLAS,201,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
641,Introductory Ancient Greek II,"This course continues the study of Greek grammar, syntax, and vocabulary, and prepares students to begin reading ancient texts.",CLAS,202,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
642,Introductory Ancient Greek: Intensive Course,"Greek grammar, syntax, and vocabulary are presented in an intensive one?term course that enables students to begin reading ancient texts",CLAS,280,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
643,Introductory Latin I,"This course presents students with the introductory elements of Classical Latin grammar, syntax, and vocabulary",CLAS,203,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
644,Introductory Latin II,"This course continues the study of Classical Latin grammar, syntax, and vocabulary, and prepares students to begin reading ancient texts.",CLAS,204,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
645,Introductory Latin: Intensive Course,"Latin grammar, syntax, and vocabulary are presented in an intensive one?term course that enables students to begin reading ancient texts.",CLAS,290,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
646,Latin Literature of the Augustan Period,"This course provides an in?depth study of the Golden Age of Latin poetry in the period of transition from Republic to Empire. Authors studied include Virgil, Horace, Propertius, and Ovid. The texts are read in English translation.",CLAS,322,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
647,Mythologies of the Ancient Mediterranean,"This course provides a survey of the myths of the ancient Mediterranean. The focus is on Greek and Roman mythology, with attention also given to the mythologies of the Ancient Near East.",CLAS,265,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
648,Practicum in Archaeology,This course is designed to give the student on?site fieldwork experience in either survey or excavation work. At least one month in the field is required.,CLAS,370,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
649,Representations of Women in Ancient Greece and Rome,"The ancient Greek and Roman representations of women are examined within their historical and cultural contexts. Focus is placed on the changing social roles, status and images of women in antiquity. Both visual and literary sources are used.",CLAS,353,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
650,Roman Art and Archaeology,"An introduction to the artifacts and monuments of Roman civilization from the sixth century BC through the Empire (third century AD), this course examines artistic styles, techniques, function, iconography and interpretation.",CLAS,369,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
651,Roman Literature,"An introduction to the major authors of the Roman world, this course focuses on Catullus, Virgil, Horace, Ovid and Lucretius; works of the dramatists, orators and satirists may also be included. The texts are read in English translation.",CLAS,212,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
652,Selected Topics in Classics,No Desciption,CLAS,399,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
653,Selected Topics in Classics,No Desciption,CLAS,299,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
654,Selected Topics in Classics,No Desciption,CLAS,398,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
655,Selected Topics in Classics,No Description,CLAS,298,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-060.html#classics
656,Applied Evolutionary and Learning Algorithms,"Heuristic learning algorithms applied to real-world problems of design, classification, prediction and abstraction. Genetic algorithms, genetic programming, evolutionary strategies, generative and developmental systems, artificial life approaches, swarm intelligence, self-modifying programs, tabu search, simulated annealing and support vector machines, introduction to deep learning architectures. Examples of practical applications and challenges focused on biological and biomedical engineering. Lectures: three hours per week.",COEN,432,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
657,Biological Computing and Synthetic Biology,"Foundations of synthetic biology and ethics. Synthetic genomes and metabolic engineering. Model organisms, such as E. coli bacteria and synthetic cells, self-replicating cells man-made from cloned genes, a cellular membrane and the basic elements of RNA and protein synthesis. Designing computational devices for implementation in biological cells. Introduction to modelling and computer simulation of gene regulatory networks. Methods of building and testing gene regulatory networks within and without cells. Expanding functionality via inter-cellular signaling. ",COEN,433,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
658,Capstone Computer Engineering Design Project," Students are assigned to groups, and work together under faculty supervision to solve a complex interdisciplinary design problem — typically involving communications, control systems, electromagnetics, power electronics, software design, and/or hardware design. The project fosters teamwork between group members and allows students to develop their project management, technical writing, and technical presentation skills. Tutorial: one hour per week, two terms. Equivalent laboratory time: four hours per week, two terms.",COEN,490,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
659,Communication Networks and Protocols,"Communications protocols basics, flow control, error detection and error control techniques. Network topologies including local area networks (LANs) and wide area networks (WANs). Layered architecture standards (OSI and TCP/IP) and protocols. Internetworking. Application and socket programming. Lectures: three hours per week. Laboratory: 15 hours total.",COEN,445,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
660,Computer Architecture and Design," Review of basic computer architecture designs. Fundamentals of computer design and performance. Cost issues. Instruction set design principles. Memory hierarchies: registers, caches, and virtual memories. Basic processor implementation issues. High performance computing issues such as pipelining, superscalar, and vector processing. Input/output subsystem designs. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",COEN,316,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
661,Computer Engineering Product Design Project,"The Product Design Project reinforces skills introduced in ENGR 290, which include teamwork, project management, engineering design for a complex problem, technical writing, and technical presentation in a team environment. It also introduces students to product development. Students are assigned to teams and each team develops, defines, designs and builds a system and/or device under broad constraints set by the Department. Students present their product definition and design, and demonstrate that their system/device works at the end of the term. Tutorial: two hours per week. Equivalent laboratory time: six hours per week.",COEN,390,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
662,Computer Organization and Software,"Introduction and terminology. Review of data representation and arithmetic. Floating-point representation and arithmetic. Functional units: CPU, memory, I/O, computer operation. Machine programming fundamentals: instruction structure, addressing modes, the assembly process, examples of architectures. Case study of a microprocessor architecture: programming model, assembler and addressing modes, instruction set and formats; programming examples. Stacks, subroutines, macros, exceptions, interrupts. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",COEN,311,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
663,Cyber-Physical Systems,"Models of computation for cyber-physical systems. Models for computation and physical systems. Discrete event dynamic models, finite-state machines (FSMs). Extended FSMs, statecharts, petri nets. Continuous variable models. Scheduling and optimization of process networks, hybrid models. Specification, simulation and performance analysis of cyber-physical systems. Relationship of program execution with physical time constants. Lectures: three hours per week.",COEN,422,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
664,Data Structures and Algorithms,"Mathematical introduction: mathematical induction, program analysis, and algorithm complexity. Fundamental data structures: lists, stacks, queues, and trees. Fundamental algorithms: hashing and sorting. Graph structures and algorithms. Overview of algorithm design techniques, including greedy algorithms, divide and conquer strategies, recursive and backtracking algorithms, and heuristics. Application of data structures and algorithms to engineering. ",COEN,352,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
665,Digital Electronics,"Analysis and simulation of basic digital circuit blocks, in particular, CMOS, BiCMOS and ECL technologies. The focus is on the electronics aspect of digital circuits. Combinational and sequential circuit units, including logic gates, flip-flops, signal generators, static and dynamic memories, and interconnections. Performance analysis in terms of switching speeds, power dissipation, noise immunity, fan-in and fan-out. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",COEN,315,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
666,Digital Systems Design I," Boolean algebra; theorems and properties, functions, canonical and standard forms. Logic gates and their use in the realization of Boolean algebra statements; logic minimization, multiple output circuits. Designing with MSI and LSI chips, decoders, multi­plexers, adders, multipliers, programmable logic devices. Introduction to sequential circuits; flip-flops. Completely specified sequential machines. Machine equivalence and minimization. Implementation of clock mode sequential ci",COEN,212,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
667,Digital Systems Design II,Two-level and multi-level logic optimization techniques. Hardware description languages (VHDL) for synthesis and simulation. Asynchronous design. Algorithmic state machines. Clocking and clock skew. Metastability. Self-timed concepts. Finite state machine (FSM) optimization. State reduction. FSM partitioning. Programmable logic devices and field programmable gate arrays. Data path and control design for processors. Testing issues. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.,COEN,313,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
668,Embedded Systems Design,"Embedded systems, foundations for cyber-physical systems design. Embedded HW architectures, sensors, actuators, processors. IO and peripherals, memory architectures, interfacing memory and peripheral. Hardware-software partitioning, software transformations, floating to fixed point conversion, loop transformations, code compaction, low-power design and embedded system testing. Lectures: three hours per week. Laboratory: 30 hours total.",COEN,421,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
669,Hardware Functional Verification,"Review of hardware design languages. Introduction to functional verification. Design for verification. Writing test benches, simulation engines, and coverage metrics. Introduction to verification languages. Verification plan: strategies, test cases, test benches. Modelling verification environments. Modelling input relations, intervals, events. Introduction to formal verification tools. Lectures: three hours per week.",COEN,413,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
670,Internet of Things," From internet and devices to internet of things (IoT), business models and applications including health monitoring and smart cities. Devices and their connection including wireless sensor networks (WSN). Constraints and requirements. Network access protocols, routing protocols (RPL), transport layer and message queuing telemetry transport (MQTT). Constrained application protocol (CoAP) and efficient XML interchange (EXI). Protocol stack and contrast with internet stack. Security threats. Introduction to IoT analytics. Platforms and tools. Lectures: three hours per week.",COEN,446,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
671,Introduction to Discrete Mathematics,"Fundamentals of logic: basic connectives and truth tables; logical equivalence; the laws of logic; logical implication; rules of inference; the use of quantifiers; proofs of theorems. Sets: the laws of set theory. Boolean algebra. Relation of Boolean algebra to logical and set theoretic operations. Modulo arithmetic: division algorithm. Induction and recursion: induction on natural numbers; recursive definitions. Functions and relations: cartesian products and relations; functions; function composition and inverse functions; equivalence relations. Elements of graph theory: basic definitions of graph theory; paths, reachability and connectedness; computing paths from their matrix representation; traversing graphs represented as adjacency lists; trees and spanning trees. Finite-state machines (FSM) deterministic and nondeterministic machines; regular languages; FSM with output; composition of FSM. Lectures: three hours per week. Tutorial: one hour per week.",COEN,231,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
672,Introduction to Real-Time Systems,"Real-time operating systems (RTOS) feature: multi-tasking, process management, scheduling, interprocess communication and synchronization, real-time memory management, clocks and timers, interrupt and exception handling, message queues, asynchronous input/output. Concurrent programming languages: design issues and examples, POSIX threads and semaphores. Introduction to real-time uniprocessor scheduling policies: static vs. dynamic, pre-emptive vs. non-pre-emptive, specific techniques — rate-monotonic algorithm, earliest-deadline-first, deadline monotonic, least-laxity-time-first; clock-driven scheduling. Design and specification techniques — Finite state machine based State-chart, Dataflow diagram, Petri nets. Reliability and fault-tolerance. Case studies of RTOS — QNX, VxWorks, and research prototypes. Lectures: three hours per week. Tutorial: one hour per week.",COEN,320,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
673,Microfluidic Devices for Synthetic Biology,"This course introduces students to microfluidic components (pumps, valves, automation) programming microfluidics, paradigms, and applications for chemical and biological analysis. Introduction to synthetic biology; biological parts and their properties, network structure and pathway engineering, synthetic networks, manipulating DNA and measuring responses, basic behaviour of genetic circuits, building complex genetic networks; integration of microfluidics and synthetic biology; economic implications. Lectures: three hours per week.",COEN,434,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
674,Microprocessor Systems,"This course covers the following topics: introduction to microprocessor interfacing; bus functions, bus interconnections, synchronous and asynchronous bus; signal flow, data transfer and memory Interfacing; parallel, serial, high-speed, analog interfacing; secure Digital Card Interface; the interrupt system; bus arbitration and DMA; data Acquisition Systems Network Interfacing. Lectures: three hours per week. Tutorials: one hour per week. Laboratory: 15 hours total.",COEN,317,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
675,Operating Systems,"The evolution, architecture, and use of modern operating systems (OS). Multi-tasking, concurrency and synchronization, IPC, deadlock, resource allocation, scheduling, multi-threaded programming, memory and storage managements, file systems, I/O techniques, buffering, protection and security, the client/server paradigm and communications. Introduction to real time operating systems. Students write substantial programs dealing with concurrency and synchronization in a multi-tasking environment. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",COEN,346,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
676,Programming Methodology I,"This course is an introduction to computer hardware and software, programming and programming paradigms; essential procedural programming languages: key elements; reserved words and identifiers; data types and declarations; statements; arithmetic expressions; different modes of execution. The course covers flow control using If-Else and Switch statements, repetition using loops, recursive functions, pointers, references and dynamic data structures and function pointer. The course material also includes Lambda expression, data structures, built-in arrays, template arrays and vectors, n-dimensional vectors, sorting and searching",COEN,243,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
677,Programming Methodology II,"This course covers advanced topics in computer programming. The course reviews object-oriented programming and further concepts, and revisits pointers. The following topics are covered: operator overloading (regular and advanced usage), fundamentals of file and stream processing. The course also covers class composition and inheritance (regular and advanced usage), virtual functions, polymorphism, static and dynamic binding and abstract classes. A case study of a small-scale object-oriented project along with simplified analysis, ",COEN,244,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
678,Programming on the Cloud,"Autonomy of cloud computing, service and business models, data centres and virtualization. CAP theorem, REST API and data models. Map reduce and programming model of distributed data processing on computer clusters. Distributed file systems for computer clusters, development environments and tools on clouds. Cloud-based data access and query. Cloud application design principles. Lectures: three hours per week.",COEN,424,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
679,Software Testing and Validation," Overview of the three phases and deliverables of a project. Validation vs. verification, reviews, walkthrough. Testing: acceptance testing, integration testing, module testing. Writing stubs. Performance testing. Role of formal methods. Code inspection. Defect tracking. Causality analysis. Software Metrics and quality management. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: 15 hours total.",COEN,345,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
680,Software-Defined Networking,"Control and data planes, centralized vs. distributed control. Network operating systems, network function virtualization. Programmable data planes, network processors, programmable switch pipelines. High-level data-plane programming with P4 and data plane development kit. Software-defined network emulation project. Lectures: three hours per week.",COEN,447,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
681,Topics in Computer Engineering,"The course, when offered, will include topics which complement elective courses in computer engineering and computer science. Lectures: three hours per week.",COEN,498,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
682,VLSI Circuit Design," Analysis and design of electronic circuits using Very Large Scale Integration (VLSI) technologies. Physical design of MOS digital circuits. CMOS circuit schematic and layout. CMOS processing technology, design rules and CAD issues. Physical layers and parasitic elements of CMOS circuits. Characterization and performance evaluation. Constraints on speed, power dissipation and silicon space consumption. Design and implementation of CMOS logic structures, interconnections and I/O structures. Circuit design project using a specified CMOS technology. Lectures: three hours per week. Laboratory: 30 hours total.",COEN,451,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#coen
683,Analysis of Markets,"This course provides a general per­spective on the history, operation and relation­ships between Canadian and international product, labour and financial markets. Specifically, students are introduced to issues of fundamental importance to today’s managers and entrepreneurs such as changes in structure and competitiveness in these markets in response to government policies, the determination and behaviour of interest rates, inflation, market integration, and the role and function of financial intermediation. It further provides students with the knowledge of the role and impact of regulation and other government interventions in these markets.",COMM,220,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.35
684,Business Communication,"his course focuses on the principles and techniques of clear, concise, and effective, written and oral communication, especially as they apply to business. The formal, grammatical, and stylistic elements of written and oral business communication are emphasized. In addition, students are instructed in and experience the use of audiovisual means of communication.",COMM,205,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.36
685,Business Law and Ethics,"This course introduces students to important legal and ethical issues that they may encounter within a business organization. Through the study of laws, ethical principles and court judgments, students develop an understanding of legal and ethical issues, as well as the skills necessary to assist them in making sound legal and ethical decisions.",COMM,315,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.37
686,Business Statistics,"This course introduces the fundamentals of statistics as applied to the various areas of business and administration. Topics covered include techniques of descriptive statistics, basic theory of probability and probability distributions, estimation and hypotheses testing, chi-square tests in contingency table analysis and for goodness-of-fit, and linear regression and correlation.",COMM,215,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.38
687,Business Technology Management,"The objective of this course is to provide students with an understanding of the role of information technology in business organizations. Students learn how information technologies can be used to create business value, solve business problems, accomplish corporate goals and achieve and maintain a competitive advantage.",COMM,226,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.39
688,Contemporary Business Thinking,"This course presents a broad survey of the world of business and aims to incite students to develop a critical perspective on business literature. Students explore foundational business theories, by studying business articles and books, and evaluating the central ideas for scope, relevance, and managerial utility. The course also fosters students’ inclination to keep well informed about contemporary issues in organizations and business. Basic group work techniques and basic project management skills guide the students to complete group assignments.",COMM,210,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.40
689,Entrepreneurship,"This course introduces students to entrepreneurship. Students analyze and integrate entrepreneurship concepts into business development cases. They research, prepare, and present a comprehensive business plan that may involve commercial, technological and social innovations delivered through new projects by either new business ventures or existing firms. Since the business plan integrates aspects of accountancy, marketing, financing, human resources management, and operations management, students benefit from knowledge of entrepreneurship, regardless of their career goals. Project activities require teamwork, leadership and communication skills.",COMM,320,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.41
690,Financial Accounting,"This course examines the theory and prac­tice involved in measuring, reporting, and analyzing an organization’s financial information. Concepts underlying financial statements are discussed, with an emphasis on generally accept­ed accounting principles. Disclosures/requirements concerning financial statements as well as information needs of decision-makers are introduced.",COMM,217,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.42
691,Introduction to Finance,"This course provides a general understanding of the fundamental concepts of finance theory as they apply to the firm’s long-run and short-run financing, and investment decisions. Building on the objective of firm value maximization, students become familiar with the conceptual issues underlying risk and return relationships and their measurements, as well as the valuation of financial securities. They also learn the concept of cost of capital, its measurement, and the techniques of capital budgeting as practised by today’s managers. Students are introduced to the basic issues surrounding the firm’s short-term and long-term funding decisions and its ability to pay dividends.",COMM,308,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.43
692,Managerial Accounting,"This course covers the development of accounting information to assist management in carrying out its functions effectively and efficiently. Concepts and techniques for planning, performance evaluation, control, and decision-making are introduced. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques.",COMM,305,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.44
693,Marketing Management I,"This survey course introduces students to the key concepts in marketing. Topics covered include marketing strategy, buyer behaviour, and the impact of technology on the discipline. The course also explores the important role that marketing plays in advancing society.",COMM,223,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.45
694,Organizational Behaviour and Theory,"This course is designed to provide students with an opportunity to study individual behaviour in formal organizations. Through theoretical case and experiential approaches, the focus of instruction progressively moves through individual, group and organizational levels of analysis. Topics in the course include perception, learning, personality, motivation, leadership, group behaviour, and organizational goals and structure.",COMM,222,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.46
695,Production and Operations Management,"This course is an introduction to contemporary operational issues and techniques in the manufacturing and service sectors. Among the topics covered are operations strategy, forecasting, materials’ management, total quality management, time-based competition, and minimal manufacturing. Mathematical modelling in resource allocation is also introduced. Cases and computer-aided quantitative tools for decision-making are used throughout the course with an emphasis on the interactions between production/operations management and other business disciplines.",COMM,225,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.47
696,Seminar Course,No Description ,COMM,499,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.48
697,Special Topics in Business,No Description,COMM,299,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.49
698,Strategy and Competition,No Description,COMM,401,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-10.html#b61.50
699,Advanced Game Development,"Introduction to advanced aspects of computer games. Game engine design. Artificial Intelligence (AI): non?player character movement, coordinated movement, pathfinding, world representations; decision making; tactical AI, strategic AI, learning in games. Physics?based techniques: collision detection and response. Networked gaming: multi?player games, networking and distributed game design, mobile gaming. Improving realism: cut scenes, 3D sound. Project. Lectures: three hours per week. Laboratory: two hours per week.",COMP,476,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
700,Advanced Program Design with C++,"Pointers and their uses. The?Standard Template Library (STL): containers, algorithms, iterators, adaptors, function objects. Class design: constructors, destructors, operator overloading, inheritance, virtual functions, exception handling, memory management. Advanced topics: libraries, locales, STL conventions, concurrency, template metaprogramming. Applications of C++: systems, engineering, games programming. Project. Lectures: three hours per week. Laboratory: two hours per week.",COMP,345,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
701,Animation for Computer Games,"ntroduction to the algorithms, data structures, and techniques used in modelling and rendering dynamic scenes. Topics include principles of traditional animation, production pipeline, animation hardware and software, orientation representation and interpolation, modelling physical and articulated objects, forward and inverse kinematics, motion control and capture, key?frame, procedural, and behavioural animation, camera animation, scripting system, and free?form deformation. Project. Lectures: three hours per week. Laboratory: two hours per week.",COMP,477,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
702,Artificial Intelligence,"This course initially describes the scope and history of Artificial Intelligence. Then it covers knowledge representation, heuristic search, game playing and planning. Finally, it introduces the topics of machine learning, genetic algorithms and natural language processing. A project is required. Lectures: three hours per week. Laboratory: two hours per week.",COMP,472,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
703,Combinatorics,"General principles of counting, permutations, combinations, identities, partitions, generating functions, Fibonacci numbers, Stirling numbers, Catalan numbers, principle of inclusion?exclusion. Graphs, subgraphs, isomorphism, Euler graphs, Hamilton paths and cycles, planar graphs, Kuratowski’s Theorem, trees, colouring, 5?colour theorem, matching, Hall’s theorem.",COMP,339,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
704,Compiler Design,"Compiler organization and implementation: lexical analysis and parsing, syntax?directed translation, code optimization. Run?time systems. Project. Lectures:?three hours per week. Laboratory: two hours per week.",COMP,442,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
705,Computer Architecture,"Computer architecture models: control?flow and data?flow. Concurrency and locality, data dependency theory. Instruction level parallelism. Instruction scheduling. Pipelined processors. Vector processors. Thread level parallelism. Multiprocessors. Shared memory models. Coherence protocols. Interconnection networks. Performance issues. Advanced topics in contemporary computer architectures. Lectures: three hours per week. Tutorial: one hour per week",COMP,326,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
706,Computer Graphics,"Introduction to computer graphics and graphics hardware. Introduction to graphics API and graphics systems architecture. Mathematics of 2D and 3D transformations, and 2D and 3D viewing. Colour and basic rendering algorithms. Visual realism and visibility. Illumination and shading, global illumination techniques, and textures. Introduction to curves and surfaces, and 3D object modelling. Introduction to computer animation. Project. Lectures: three hours per week. Laboratory: two hours per week.",COMP,371,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
707,Computer Science Industrial Experience Reflective Learning_I,This course is a reflective learning module for students in their related field which is based on their academic requirements and their first C.Edge term.,COMP,108,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
708,Computer Science Industrial Experience Reflective Learning_II,This course expands on the students’ second C.Edge term in their related field of study to further develop their knowledge and work?related skills.,COMP,208,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
709,Computer Science Project I,Students work on a computer science project under the supervision of a faculty member and submit a suitable written report on the work carried out. Students planning to register for this course should consult with the Department prior to registration in the final year of study.,COMP,490,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
710,Computer Science Project II,COMP 490 previously or concurrently; permission of the Department. Students work on a computer science project under the supervision of a faculty member and submit a suitable written report on the work carried out. Students planning to register for this course should consult with the Department prior to registration in their final year of study.,COMP,492,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
711,Computer Vision,"This course introduces basic techniques and concepts in computer vision including image formation, grouping and fitting, geometric vision, recognition, perceptual organization, and the state?of?the art software tools. Students learn fundamental algorithms and techniques, and gain experience in programming vision?based components; in particular, how to program in OpenCV, a powerful software interface used to process data captured from passive and active sensors. A project is required. Laboratory: two hours per week.",COMP,425,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
712,Data Communication and Computer Networks," Network architectures: OSI and Internet models. Link layer: error detection, multiple access protocols, addressing. Local area networks: Ethernet, ATM, switches and hubs. Network layer: forwarding and routing, IP, routing algorithms, multicast. Transport layer: connectionless and connection?oriented transport, reliable data transport, congestion control, QoS, UDP and TCP. Application layer: DNS, the web and http, file transfer, and email. Introduction to network security, multimedia protocols and wireless networking. Lectures: three hours per week. Laboratory: two hours per week.",COMP,445,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
713,Data Structures and Algorithms,"COMP 352 previously or concurrently. Introduction to C++. I/O with stream classes. Pointers and their uses. The?Standard Template Library (STL): containers, algorithms, iterators, adaptors, function objects. Class design: constructors, destructors, operator overloading, inheritance, virtual functions, exception handling, memory management. Advanced topics: libraries, locales, STL conventions, concurrency, template metaprogramming. Applications of C++: systems, engineering, games programming. Project. Lectures: three hours per week. Laboratory: two hours per week.",COMP,352,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
714,Database Design,Buffer management. Data organization. Index structures. Query optimization and execution. Transaction management. Recovery. Concur­rency control. Database performance analysis and tuning. New trends in database technology. Project. Lectures: three hours per week. Laboratory: two hours per week.,COMP,451,http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-70.html#compsci
